-4.12116,32.9714,0.0049925
-4.12116,32.9724,0.00249331
-4.12116,32.9732,0.00190856
-4.12116,32.974,0.0019982
-4.12116,32.9748,0.00202674
-4.12116,32.9757,0.00200179
-4.12116,32.9765,0.00197726
-4.12116,32.9773,0.00199211
-4.12116,32.9781,0.00199955
-4.12116,32.979,0.00199867
-4.12116,32.9798,0.00200106
-4.12116,32.9806,0.00200794
-4.12116,32.9814,0.00199236
-3.98521,31.8946,0.0020132
-3.9695,31.7697,0.00199122
-3.9695,31.7705,0.00199653
-3.9695,31.7713,0.00201106
-3.9695,31.7721,0.00199138
-3.9695,31.7729,0.00199898
-3.9695,31.7743,0.00363046
-3.9695,31.7753,0.00237633
-3.9695,31.7761,0.00202367
-3.9695,31.7769,0.00200731
-3.9695,31.7777,0.00196278
-3.9695,31.7785,0.00200013
-3.9695,31.7793,0.00200481
-3.9695,31.7801,0.00199471
-3.9695,31.7808,0.00199997
-3.9695,31.7816,0.0019996
-3.9695,31.7824,0.00199856
-3.9695,31.7832,0.00200763
-3.9695,31.784,0.00199325
-3.9695,31.7848,0.00200117
-3.9695,31.7856,0.00199825
-3.9192,31.384,0.00201263
-3.81169,30.5246,0.00200237
-3.81169,30.5256,0.00261966
-3.81169,30.5268,0.00299488
-3.81169,30.5277,0.00245518
-3.81169,30.5285,0.00198981
-3.81169,30.5292,0.00193486
-3.81169,30.53,0.00199346
-3.81169,30.5307,0.00199888
-3.81169,30.5315,0.00200106
-3.81169,30.5323,0.0020008
-3.81169,30.533,0.00199862
-3.81169,30.5338,0.00199846
-3.81169,30.5345,0.00200028
-3.81169,30.5353,0.00200106
-3.81169,30.5361,0.00200445
-3.81169,30.5368,0.00199565
-3.81169,30.5376,0.00199726
-3.81169,30.5384,0.00200184
-3.81169,30.5391,0.00199981
-3.81169,30.5399,0.00200559
-2.37103,19.0151,0.00202377
-2.27523,18.2492,0.00201747
-2.27523,18.2498,0.00264352
-2.27523,18.2503,0.00232002
-2.27523,18.2507,0.00199174
-2.27523,18.2512,0.00199971
-2.27523,18.2517,0.00200028
-2.27523,18.2523,0.00263081
-2.27523,18.2528,0.00237263
-2.27523,18.2532,0.00199679
-2.27523,18.2537,0.00199945
-2.27523,18.2543,0.00262737
-2.27523,18.2548,0.00237654
-2.27523,18.2553,0.0019958
-2.27523,18.2557,0.00199997
-2.27523,18.2562,0.00199841
